epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,14811.6,0.80642,0.61343,0.99877,0.85842,0.86768,0.93131,0.7459,0.75527,1.26217,0.94507,0.008812,0.008812,0.008812
20,15587.4,0.79555,0.60044,0.98627,0.85411,0.8628,0.9284,0.74201,0.768,1.25587,0.94228,0.008746,0.008746,0.008746
21,16364.4,0.78905,0.5939,0.98717,0.85207,0.87637,0.93072,0.74541,0.75213,1.23176,0.94078,0.00868,0.00868,0.00868
22,17140.5,0.78735,0.59195,0.98737,0.8665,0.87009,0.93475,0.74986,0.77516,1.22991,0.95104,0.008614,0.008614,0.008614
23,17915.8,0.78567,0.5899,0.98905,0.8601,0.87519,0.93601,0.75777,0.74828,0.91653,0.9419,0.008548,0.008548,0.008548
24,18690.3,0.78071,0.5822,0.98317,0.87101,0.87171,0.93924,0.75979,0.75107,1.0007,0.92723,0.008482,0.008482,0.008482
25,19462.5,0.77761,0.57599,0.97474,0.86692,0.87658,0.94185,0.76381,0.74391,1.0767,0.93389,0.008416,0.008416,0.008416
26,20233.6,0.77288,0.57495,0.98023,0.87122,0.88389,0.94282,0.76635,0.74706,0.998,0.93851,0.00835,0.00835,0.00835
27,21004.8,0.77411,0.57265,0.97966,0.86934,0.87717,0.94024,0.76413,0.73429,0.83792,0.92635,0.008284,0.008284,0.008284
28,21775,0.77285,0.5693,0.97644,0.86021,0.88756,0.94114,0.76807,0.73281,0.7359,0.93289,0.008218,0.008218,0.008218
29,22545.7,0.76501,0.56273,0.97274,0.87172,0.88396,0.94487,0.77608,0.71805,0.80265,0.92311,0.008152,0.008152,0.008152
30,23317.1,0.76943,0.56137,0.97393,0.86762,0.8931,0.94665,0.77988,0.72528,0.74252,0.92459,0.008086,0.008086,0.008086
31,24088.2,0.76607,0.56036,0.97623,0.88035,0.88595,0.9476,0.77779,0.73276,0.79811,0.93673,0.00802,0.00802,0.00802
32,24858.8,0.75369,0.54493,0.97408,0.87718,0.88855,0.94814,0.78235,0.715,0.8404,0.93533,0.007954,0.007954,0.007954
33,25631.3,0.75754,0.54706,0.97462,0.87293,0.89487,0.94768,0.78372,0.70988,0.69035,0.92373,0.007888,0.007888,0.007888
34,26403.1,0.7581,0.54642,0.97139,0.87715,0.89169,0.94908,0.78322,0.70975,0.78925,0.92649,0.007822,0.007822,0.007822
35,27174,0.75475,0.54234,0.96953,0.88361,0.89178,0.95129,0.793,0.6896,0.75471,0.91071,0.007756,0.007756,0.007756
36,27945.8,0.75147,0.54048,0.96825,0.87798,0.89472,0.9518,0.78795,0.69798,0.81772,0.91628,0.00769,0.00769,0.00769
37,28717.8,0.75021,0.53969,0.96978,0.88183,0.89586,0.95242,0.79018,0.69768,0.86072,0.92329,0.007624,0.007624,0.007624
38,29488.5,0.75195,0.53976,0.96867,0.87814,0.90235,0.95225,0.79502,0.69801,0.81407,0.91574,0.007558,0.007558,0.007558
39,30260.9,0.7512,0.53601,0.9625,0.88718,0.89897,0.95421,0.79626,0.69548,0.82014,0.91205,0.007492,0.007492,0.007492
40,31033.1,0.74881,0.53369,0.96627,0.88728,0.90483,0.95589,0.79741,0.70678,0.71085,0.91573,0.007426,0.007426,0.007426
41,31805.6,0.74346,0.53194,0.96143,0.89063,0.89903,0.95627,0.79682,0.69456,0.81323,0.9101,0.00736,0.00736,0.00736
42,32577.3,0.73966,0.52519,0.9593,0.88949,0.90271,0.95617,0.8049,0.67149,0.72397,0.89601,0.007294,0.007294,0.007294
43,33349.5,0.74029,0.52197,0.95644,0.88744,0.90602,0.95608,0.80164,0.68324,0.7884,0.90121,0.007228,0.007228,0.007228
44,34121.5,0.74139,0.5239,0.96206,0.8907,0.90679,0.95703,0.80045,0.68553,0.79216,0.90746,0.007162,0.007162,0.007162
45,34897.9,0.73637,0.51957,0.95794,0.89264,0.90916,0.9591,0.80448,0.67707,0.84002,0.90492,0.007096,0.007096,0.007096
46,35710.8,0.73759,0.51889,0.96243,0.88793,0.91068,0.95869,0.80719,0.67028,0.71345,0.90353,0.00703,0.00703,0.00703
47,36540.4,0.73778,0.52041,0.95594,0.89497,0.90763,0.9597,0.80379,0.68316,0.75664,0.90147,0.006964,0.006964,0.006964
48,37368.3,0.73155,0.51191,0.9581,0.89879,0.91014,0.96179,0.80665,0.68041,0.70716,0.89521,0.006898,0.006898,0.006898
49,38181.3,0.73321,0.51181,0.95023,0.89954,0.90733,0.96252,0.80883,0.66963,0.72173,0.89173,0.006832,0.006832,0.006832
50,39007.8,0.72995,0.507,0.95371,0.89735,0.91242,0.96306,0.81154,0.67577,0.77282,0.88799,0.006766,0.006766,0.006766
51,39847.1,0.72862,0.50494,0.95055,0.90136,0.91445,0.96432,0.8121,0.66652,0.6413,0.88295,0.0067,0.0067,0.0067
52,40667.2,0.7269,0.50737,0.95077,0.9011,0.91758,0.96513,0.81674,0.65947,0.71136,0.88498,0.006634,0.006634,0.006634
53,41495.7,0.72431,0.50061,0.94905,0.90573,0.91614,0.96473,0.81678,0.66073,0.69759,0.88313,0.006568,0.006568,0.006568
54,42316.9,0.72507,0.50433,0.94756,0.90419,0.914,0.96455,0.81711,0.6593,0.7718,0.87945,0.006502,0.006502,0.006502
55,43137.9,0.72092,0.49498,0.9507,0.90266,0.91638,0.96526,0.81986,0.6542,0.73967,0.88767,0.006436,0.006436,0.006436
56,43968.2,0.721,0.49802,0.944,0.90409,0.92307,0.96656,0.81977,0.66285,0.72074,0.88341,0.00637,0.00637,0.00637
57,44794.3,0.7171,0.4908,0.94447,0.90585,0.92148,0.96716,0.82062,0.65673,0.6902,0.87749,0.006304,0.006304,0.006304
58,45629.2,0.71461,0.49396,0.94025,0.9054,0.92262,0.96764,0.81974,0.65677,0.66953,0.87891,0.006238,0.006238,0.006238
59,46471.7,0.71536,0.49243,0.94851,0.91253,0.91767,0.96682,0.82135,0.65537,0.70235,0.88479,0.006172,0.006172,0.006172
60,47315,0.72087,0.49015,0.949,0.90959,0.92591,0.96803,0.82418,0.65124,0.67527,0.88344,0.006106,0.006106,0.006106
61,48151.7,0.71177,0.48784,0.94884,0.91217,0.92485,0.96842,0.82727,0.651,0.67491,0.88651,0.00604,0.00604,0.00604
62,48990.9,0.71408,0.48956,0.94897,0.91856,0.91852,0.96875,0.82705,0.65131,0.73318,0.88738,0.005974,0.005974,0.005974
63,49843.4,0.71415,0.48533,0.94598,0.9091,0.9303,0.96941,0.82912,0.6413,0.69535,0.87952,0.005908,0.005908,0.005908
64,50664.6,0.71272,0.4855,0.94624,0.91358,0.93002,0.97039,0.83055,0.64048,0.71184,0.87915,0.005842,0.005842,0.005842
65,51506.8,0.70505,0.47978,0.93928,0.91548,0.92887,0.97103,0.82981,0.63916,0.65226,0.87614,0.005776,0.005776,0.005776
66,52344,0.70929,0.48166,0.94079,0.91592,0.9311,0.97166,0.8331,0.63818,0.62037,0.87498,0.00571,0.00571,0.00571
67,53185.6,0.70776,0.47846,0.94321,0.91713,0.93103,0.9724,0.83587,0.63624,0.59206,0.87404,0.005644,0.005644,0.005644
68,54011.4,0.70496,0.47686,0.93914,0.91915,0.93066,0.97321,0.83612,0.6399,0.58389,0.87355,0.005578,0.005578,0.005578
69,54846.7,0.70431,0.47556,0.93755,0.91707,0.93487,0.97332,0.83623,0.63543,0.58628,0.87072,0.005512,0.005512,0.005512
70,55678.4,0.70432,0.4739,0.94261,0.92121,0.93127,0.97349,0.83793,0.63424,0.64725,0.87421,0.005446,0.005446,0.005446
71,56502.2,0.70419,0.47093,0.93764,0.92098,0.93555,0.97399,0.84002,0.63156,0.63281,0.87206,0.00538,0.00538,0.00538
72,57273.6,0.70078,0.46803,0.93494,0.91763,0.94113,0.9745,0.84194,0.62622,0.62081,0.86932,0.005314,0.005314,0.005314
73,58047.1,0.70202,0.46924,0.93707,0.91746,0.94436,0.97524,0.84169,0.62263,0.60193,0.86905,0.005248,0.005248,0.005248
74,58817.8,0.69554,0.46483,0.9326,0.91559,0.94428,0.97542,0.84235,0.61763,0.60374,0.86577,0.005182,0.005182,0.005182
75,59588.9,0.69916,0.46454,0.93608,0.92236,0.94193,0.97596,0.84323,0.61675,0.59909,0.86416,0.005116,0.005116,0.005116
76,60360.6,0.69979,0.46238,0.93702,0.92317,0.94298,0.97688,0.84491,0.61575,0.57779,0.8649,0.00505,0.00505,0.00505
77,61131.4,0.69545,0.46434,0.93436,0.92373,0.94607,0.9772,0.84574,0.61316,0.55637,0.86236,0.004984,0.004984,0.004984
78,61901.8,0.69334,0.45754,0.92802,0.92723,0.94513,0.97774,0.84671,0.61224,0.53698,0.85841,0.004918,0.004918,0.004918
79,62672.6,0.6928,0.45967,0.92751,0.92954,0.94625,0.97804,0.84789,0.60959,0.55122,0.85612,0.004852,0.004852,0.004852
80,63443.8,0.69259,0.45485,0.93054,0.9295,0.94813,0.97855,0.84863,0.60638,0.5291,0.8553,0.004786,0.004786,0.004786
81,64214.4,0.68647,0.44533,0.92232,0.92921,0.94849,0.9788,0.84893,0.60684,0.53276,0.85366,0.00472,0.00472,0.00472
82,64984.2,0.69156,0.45348,0.92695,0.93466,0.94544,0.9795,0.84952,0.6045,0.53009,0.85217,0.004654,0.004654,0.004654
83,65755.8,0.6956,0.45458,0.9244,0.93352,0.94734,0.97973,0.85033,0.60168,0.53438,0.85052,0.004588,0.004588,0.004588
84,66526.9,0.6881,0.45021,0.91945,0.93673,0.94544,0.98014,0.85177,0.59797,0.53379,0.84807,0.004522,0.004522,0.004522
85,67297.9,0.6862,0.44476,0.92163,0.93811,0.94607,0.98048,0.85317,0.59572,0.53443,0.84643,0.004456,0.004456,0.004456
86,68068.5,0.68674,0.44703,0.92227,0.9342,0.95064,0.98069,0.8542,0.59405,0.52968,0.84607,0.00439,0.00439,0.00439
87,68839.4,0.68013,0.44322,0.92276,0.93421,0.95207,0.98108,0.85457,0.59208,0.52089,0.84529,0.004324,0.004324,0.004324
88,69609.9,0.6828,0.44237,0.92673,0.93454,0.9535,0.98152,0.85505,0.59366,0.5245,0.84651,0.004258,0.004258,0.004258
89,70381,0.68218,0.44158,0.9297,0.93588,0.95368,0.9818,0.85529,0.59379,0.52751,0.84802,0.004192,0.004192,0.004192
90,71151.8,0.67993,0.43751,0.92508,0.9375,0.95458,0.98233,0.8566,0.59098,0.52224,0.84801,0.004126,0.004126,0.004126
91,71922.5,0.67321,0.43581,0.92112,0.93943,0.95404,0.98267,0.85752,0.59154,0.51127,0.84783,0.00406,0.00406,0.00406
92,72693.8,0.68005,0.43626,0.92528,0.94019,0.95449,0.983,0.85807,0.59148,0.51299,0.84751,0.003994,0.003994,0.003994
93,73464.5,0.67635,0.43724,0.92183,0.93975,0.95581,0.98338,0.85822,0.59086,0.52132,0.84666,0.003928,0.003928,0.003928
94,74235.1,0.67088,0.4302,0.91856,0.94062,0.95652,0.98374,0.85902,0.58908,0.51826,0.84593,0.003862,0.003862,0.003862
95,75005.7,0.67297,0.43005,0.91602,0.94142,0.95637,0.9841,0.86034,0.58623,0.51061,0.84394,0.003796,0.003796,0.003796
96,75776.9,0.67024,0.42512,0.91529,0.94358,0.95593,0.98433,0.86133,0.58429,0.49836,0.84328,0.00373,0.00373,0.00373
97,76548.9,0.67142,0.42651,0.9216,0.94329,0.95665,0.98463,0.86202,0.58284,0.49873,0.84287,0.003664,0.003664,0.003664
98,77320.4,0.66878,0.42424,0.91855,0.94451,0.95771,0.9849,0.86264,0.58144,0.49785,0.84197,0.003598,0.003598,0.003598
99,78091.2,0.67043,0.42558,0.91831,0.94527,0.9578,0.98512,0.86322,0.58131,0.49271,0.84128,0.003532,0.003532,0.003532
100,78862.6,0.66806,0.42122,0.9108,0.94619,0.95779,0.98532,0.86363,0.5804,0.48832,0.83994,0.003466,0.003466,0.003466
101,79633.2,0.66551,0.42177,0.91249,0.94965,0.957,0.98555,0.86441,0.57846,0.4787,0.83865,0.0034,0.0034,0.0034
102,80404.1,0.66826,0.42235,0.91528,0.95022,0.95765,0.9857,0.86459,0.57685,0.47657,0.83827,0.003334,0.003334,0.003334
103,81175.1,0.66431,0.41612,0.91583,0.9514,0.95807,0.98591,0.86596,0.57477,0.47411,0.8379,0.003268,0.003268,0.003268
104,81946.2,0.65804,0.41359,0.91269,0.95282,0.95899,0.98614,0.86643,0.57385,0.47126,0.83717,0.003202,0.003202,0.003202
105,82716.9,0.66382,0.41382,0.91721,0.95355,0.95997,0.98631,0.8672,0.57315,0.46694,0.83673,0.003136,0.003136,0.003136
106,83487.5,0.6572,0.41054,0.90745,0.95342,0.96078,0.9865,0.86792,0.57199,0.46746,0.83578,0.00307,0.00307,0.00307
107,84258.2,0.65989,0.41152,0.91102,0.95478,0.96121,0.98671,0.86888,0.57042,0.47048,0.83512,0.003004,0.003004,0.003004
108,85029.2,0.65457,0.40651,0.91213,0.95506,0.9621,0.98688,0.86918,0.56945,0.46972,0.83466,0.002938,0.002938,0.002938
109,85799.7,0.65462,0.40607,0.90911,0.95584,0.96219,0.98694,0.86945,0.56842,0.47064,0.83397,0.002872,0.002872,0.002872
110,86570.9,0.65085,0.40188,0.90332,0.95602,0.96309,0.9871,0.8702,0.56748,0.46883,0.83319,0.002806,0.002806,0.002806
111,87341.6,0.65355,0.40332,0.90375,0.95641,0.96327,0.98726,0.87043,0.56649,0.46725,0.83254,0.00274,0.00274,0.00274
112,88113.2,0.65068,0.39804,0.9026,0.95837,0.96308,0.98741,0.87106,0.56574,0.46557,0.83202,0.002674,0.002674,0.002674
113,88884.7,0.64657,0.39917,0.90189,0.95933,0.96362,0.98759,0.87112,0.56578,0.46333,0.83146,0.002608,0.002608,0.002608
114,89655.8,0.64936,0.3986,0.9061,0.95953,0.96424,0.98777,0.87137,0.56523,0.46128,0.83093,0.002542,0.002542,0.002542
115,90426.9,0.65052,0.39599,0.9065,0.95946,0.96461,0.98788,0.87166,0.56478,0.45868,0.83061,0.002476,0.002476,0.002476
116,91198.4,0.64479,0.3919,0.90492,0.95932,0.96559,0.98801,0.87187,0.56442,0.4552,0.83033,0.00241,0.00241,0.00241
117,91969.6,0.64392,0.39045,0.90523,0.95927,0.9664,0.98817,0.8723,0.56352,0.45366,0.82981,0.002344,0.002344,0.002344
118,92741.2,0.64734,0.39221,0.90671,0.95937,0.96667,0.98826,0.87254,0.56348,0.45077,0.82955,0.002278,0.002278,0.002278
119,93512.7,0.64177,0.3896,0.90789,0.9594,0.96721,0.98838,0.87278,0.56319,0.45072,0.82945,0.002212,0.002212,0.002212
120,94285.1,0.64007,0.38584,0.90442,0.96078,0.96694,0.98849,0.87331,0.56244,0.44895,0.82917,0.002146,0.002146,0.002146
121,95057.2,0.63909,0.3863,0.90292,0.96041,0.969,0.98858,0.87372,0.56204,0.44653,0.82891,0.00208,0.00208,0.00208
122,95831.6,0.64078,0.38588,0.90575,0.96092,0.96882,0.98871,0.87419,0.56115,0.44351,0.82873,0.002014,0.002014,0.002014
123,96604.3,0.63612,0.38075,0.90493,0.96069,0.96981,0.98881,0.8743,0.56049,0.441,0.82845,0.001948,0.001948,0.001948
124,97376.9,0.63475,0.38184,0.90149,0.96139,0.97039,0.98888,0.87508,0.56021,0.43836,0.82817,0.001882,0.001882,0.001882
125,98149.7,0.63471,0.38053,0.90131,0.96123,0.97052,0.989,0.87571,0.5594,0.43668,0.82784,0.001816,0.001816,0.001816
126,98923.1,0.629,0.3753,0.89869,0.96159,0.97122,0.98908,0.87615,0.55891,0.43446,0.82754,0.00175,0.00175,0.00175
127,99696,0.63158,0.37531,0.89914,0.96179,0.97151,0.98916,0.87633,0.55842,0.43363,0.82736,0.001684,0.001684,0.001684
128,100469,0.63206,0.37588,0.89717,0.96214,0.9723,0.98925,0.87664,0.55777,0.43227,0.82712,0.001618,0.001618,0.001618
129,101243,0.63165,0.3751,0.89905,0.96323,0.97175,0.98932,0.87706,0.55717,0.42999,0.8268,0.001552,0.001552,0.001552
130,102015,0.6306,0.37207,0.89963,0.96266,0.97238,0.98938,0.87768,0.55648,0.42881,0.82647,0.001486,0.001486,0.001486
131,102789,0.62858,0.36867,0.89711,0.96328,0.97187,0.98945,0.8778,0.5558,0.42813,0.82621,0.00142,0.00142,0.00142
132,103562,0.62554,0.36755,0.89593,0.96316,0.97348,0.98952,0.8781,0.55517,0.42856,0.82585,0.001354,0.001354,0.001354
133,104335,0.62568,0.36448,0.89585,0.96346,0.97326,0.98959,0.87809,0.55433,0.4272,0.82555,0.001288,0.001288,0.001288
134,105107,0.62719,0.36795,0.89896,0.96375,0.97312,0.98967,0.87859,0.55353,0.42888,0.82534,0.001222,0.001222,0.001222
135,105879,0.62206,0.36239,0.89813,0.96419,0.97312,0.98977,0.87904,0.55298,0.42844,0.82518,0.001156,0.001156,0.001156
136,106651,0.62318,0.36185,0.89787,0.96417,0.97407,0.98981,0.87921,0.55251,0.42811,0.82495,0.00109,0.00109,0.00109
137,107424,0.6212,0.35995,0.89229,0.96452,0.97407,0.98989,0.87959,0.55173,0.42649,0.82465,0.001024,0.001024,0.001024
138,108196,0.61565,0.35723,0.89176,0.96462,0.97452,0.98999,0.87991,0.551,0.42575,0.82434,0.000958,0.000958,0.000958
139,108969,0.6171,0.35701,0.89128,0.96513,0.97536,0.99003,0.8803,0.55032,0.42346,0.82396,0.000892,0.000892,0.000892
140,109741,0.62124,0.35567,0.89324,0.96543,0.97569,0.99008,0.88043,0.55,0.42249,0.82378,0.000826,0.000826,0.000826
141,110515,0.53367,0.27606,0.88758,0.96519,0.97632,0.99005,0.88077,0.54933,0.42094,0.8236,0.00076,0.00076,0.00076
142,111286,0.52396,0.26253,0.87932,0.96493,0.97796,0.99011,0.88082,0.54921,0.41742,0.82333,0.000694,0.000694,0.000694
143,112057,0.52549,0.26343,0.88113,0.96494,0.9785,0.9902,0.88108,0.54873,0.41426,0.82297,0.000628,0.000628,0.000628
144,112827,0.52272,0.2584,0.88058,0.96512,0.97921,0.99026,0.88131,0.54819,0.41131,0.82265,0.000562,0.000562,0.000562
145,113598,0.51704,0.25401,0.88029,0.96566,0.97957,0.9903,0.88152,0.54743,0.4075,0.82229,0.000496,0.000496,0.000496
146,114370,0.51642,0.25253,0.8793,0.96641,0.97956,0.99043,0.88185,0.54648,0.40391,0.82199,0.00043,0.00043,0.00043
147,115141,0.5144,0.24738,0.88039,0.96645,0.98002,0.99048,0.88197,0.54568,0.4022,0.82166,0.000364,0.000364,0.000364
148,115912,0.51346,0.24647,0.8776,0.96679,0.98058,0.99055,0.88223,0.54496,0.40186,0.82133,0.000298,0.000298,0.000298
149,116683,0.5103,0.24653,0.87579,0.96747,0.98043,0.99062,0.8823,0.54438,0.40054,0.82107,0.000232,0.000232,0.000232
150,117454,0.50572,0.23957,0.87422,0.96749,0.98103,0.99067,0.88276,0.54359,0.39806,0.82074,0.000166,0.000166,0.000166
